Student_ID,Test_1_Grade,Test_2_Grade,Test_3_Grade,Test_4_Grade,Test_5_Grade,Test_6_Grade,Final_Grade,Tutoring
000,0.76,0.83,0.85,0.85,0.94,0.59,0.81,Test_2
001,0.83,0.75,0.8,0.8,0.67,0.72,0.77,Test_2
002,0.64,0.59,0.84,0.77,0.83,0.69,0.73,Test_3
003,0.83,0.8,0.9,0.7,0.8,0.82,0.81,Test_5
004,0.68,0.89,0.9,0.9,0.95,0.98,0.89,Test_2
005,0.54,0.78,0.87,0.65,0.87,0.81,0.76,Test_2
006,0.8,0.9,0.88,0.68,0.81,0.78,0.81,Test_6
007,0.76,0.96,0.8,0.78,0.85,0.67,0.81,Never
008,0.68,0.8,0.79,0.81,0.79,0.89,0.8,Test_2
009,0.62,0.77,0.76,0.7,0.78,0.8,0.74,Test_2
010,0.59,0.72,0.74,0.84,0.77,0.67,0.73,Test_4
011,0.71,0.65,0.93,0.84,0.85,0.88,0.81,Test_3
012,0.64,0.78,0.72,0.72,0.92,0.76,0.76,Test_2
013,0.88,1.0,0.78,0.87,0.78,0.89,0.87,Never
014,0.96,0.92,0.97,1.0,0.93,1.0,0.97,Never
015,1.0,0.94,0.87,0.91,0.93,0.92,0.93,Never
016,0.92,0.91,0.68,0.75,0.84,0.84,0.83,Never
017,0.55,0.37,0.61,0.51,0.71,0.56,0.56,Never
018,0.73,0.82,0.87,0.91,0.92,0.84,0.85,Test_3
019,0.9,0.97,0.86,0.71,0.74,0.72,0.82,Never
020,0.88,0.86,0.99,0.91,0.97,0.87,0.92,Never
021,0.59,0.78,0.88,0.95,0.98,0.94,0.86,Test_2
022,0.76,0.81,0.7,0.81,0.69,0.77,0.76,Test_2
023,0.88,0.83,0.87,0.89,0.9,0.98,0.9,Never
024,0.83,0.88,0.95,0.83,0.69,0.77,0.83,Never
025,0.79,0.86,0.81,0.8,0.74,0.86,0.81,Test_2
026,0.72,0.99,0.85,0.83,0.79,0.98,0.86,Never
027,0.64,0.68,0.55,0.7,0.71,0.78,0.68,Test_4
028,0.72,0.61,0.72,0.62,0.54,0.64,0.65,Never
029,0.81,0.88,0.77,0.73,0.85,0.87,0.82,Test_3
030,0.75,0.82,0.77,0.87,0.73,0.7,0.78,Test_2
031,0.81,0.52,0.8,0.83,0.95,0.88,0.8,Test_3
